fecha,valor
2020-10-08,6.555272
2020-10-09,6.555984
2020-10-10,6.556696
2020-10-11,6.556554
2020-10-12,6.556413
2020-10-13,6.556271
2020-10-14,6.55613
2020-10-15,6.555988
2020-10-16,6.555847
2020-10-17,6.555705
2020-10-18,6.555564
2020-10-19,6.555422
2020-10-20,6.555281
2020-10-21,6.555139
2020-10-22,6.554998
2020-10-23,6.554856
2020-10-24,6.554715
2020-10-25,6.554573
2020-10-26,6.5568
2020-10-27,6.559027
2020-10-28,6.561255
2020-10-29,6.563484
2020-10-30,6.565713
2020-10-31,6.567944
2020-11-01,6.570175
2020-11-02,6.572406
2020-11-03,6.574639
2020-11-04,6.576872
2020-11-05,6.579106
2020-11-06,6.581341
2020-11-07,6.583577
2020-11-08,6.585813
2020-11-09,6.58805
2020-11-10,6.590288
2020-11-11,6.590999
2020-11-12,6.59171
2020-11-13,6.592421
2020-11-14,6.593132
2020-11-15,6.593843
2020-11-16,6.594555
2020-11-17,6.595266
2020-11-18,6.595977
2020-11-19,6.596689
2020-11-20,6.597401
2020-11-21,6.598112
2020-11-22,6.598824
2020-11-23,6.599536
2020-11-24,6.600248
2020-11-25,6.60096
2020-11-26,6.601154
2020-11-27,6.601348
2020-11-28,6.601542
2020-11-29,6.601736
2020-11-30,6.60193
2020-12-01,6.602124
2020-12-02,6.602318
2020-12-03,6.602512
2020-12-04,6.602706
2020-12-05,6.6029
2020-12-06,6.603094
2020-12-07,6.603288
2020-12-08,6.603482
2020-12-09,6.603676
2020-12-10,6.60387
2020-12-11,6.60343
2020-12-12,6.602989
2020-12-13,6.602548
2020-12-14,6.602107
2020-12-15,6.601667
2020-12-16,6.601226
2020-12-17,6.600785
2020-12-18,6.600345
2020-12-19,6.599904
2020-12-20,6.599463
2020-12-21,6.599023
2020-12-22,6.598582
2020-12-23,6.598142
2020-12-24,6.597701
2020-12-25,6.597261
2020-12-26,6.59865
2020-12-27,6.600039
2020-12-28,6.601428
2020-12-29,6.602817
2020-12-30,6.604207
2020-12-31,6.605597
2021-01-01,6.606988
2021-01-02,6.608378
2021-01-03,6.609769
2021-01-04,6.611161
2021-01-05,6.612552
2021-01-06,6.613944
2021-01-07,6.615336
2021-01-08,6.616729
2021-01-09,6.618121
2021-01-10,6.619514
2021-01-11,6.620346
2021-01-12,6.621179
2021-01-13,6.622011
2021-01-14,6.622843
2021-01-15,6.623676
2021-01-16,6.624508
2021-01-17,6.625341
2021-01-18,6.626173
2021-01-19,6.627006
2021-01-20,6.627839
2021-01-21,6.628672
2021-01-22,6.629505
2021-01-23,6.630339
2021-01-24,6.631172
2021-01-25,6.632006
2021-01-26,6.63413
2021-01-27,6.636256
2021-01-28,6.638382
2021-01-29,6.640509
2021-01-30,6.642636
2021-01-31,6.644764
2021-02-01,6.646893
2021-02-02,6.649022
2021-02-03,6.651153
2021-02-04,6.653283
2021-02-05,6.655415
2021-02-06,6.657547
2021-02-07,6.65968
2021-02-08,6.661814
2021-02-09,6.663948
2021-02-10,6.666083
2021-02-11,6.668293
2021-02-12,6.670504
2021-02-13,6.672715
2021-02-14,6.674928
2021-02-15,6.677141
2021-02-16,6.679355
2021-02-17,6.681569
2021-02-18,6.683784
2021-02-19,6.686
2021-02-20,6.688217
2021-02-21,6.690434
2021-02-22,6.692653
2021-02-23,6.694871
2021-02-24,6.697091
2021-02-25,6.699312
2021-02-26,6.700486
2021-02-27,6.70166
2021-02-28,6.702835
2021-03-01,6.704009
2021-03-02,6.705184
2021-03-03,6.70636
2021-03-04,6.707535
2021-03-05,6.708711
2021-03-06,6.709886
2021-03-07,6.711062
2021-03-08,6.712239
2021-03-09,6.713415
