fecha,fix,inpc,tasa_obj,fix_var_m,inpc_var_m,tasa_obj_var_m,fix_var_a,inpc_var_a
2024-11-30,20.3212,8.317715,10.25,1.414326922117204,0.651291104567786,-0.25,16.970010936510672,4.7388327427982935
2024-12-31,20.7862,8.340909,10.0,2.2882506938566527,0.27885062183543585,-0.25,22.857142857142865,4.501690262180458
2025-01-31,20.6068,8.372741,10.0,-0.863072615485283,0.38163706138023556,0.0,20.063158017397598,3.874013907613638
2025-02-28,20.508,8.39661,9.5,-0.47945338431973905,0.28507988005364027,-0.5,20.18777141584569,3.5466466198348368
2025-03-31,20.438,8.421934,9.0,-0.3413302125999662,0.3015979067742647,-0.5,23.624662025247535,3.761117415704529
2025-04-30,19.6095,8.450721,9.0,-4.053723456306868,0.34180985032652433,0.0,14.703611413329586,3.938477115130512
2025-05-31,19.3858,8.477023,8.5,-1.1407736046304184,0.3112397155225155,-0.5,13.915511496853261,4.021729033518429
2025-06-30,18.8332,8.500847,8.0,-2.8505400860423524,0.2810420592229024,-0.5,3.208057957671606,4.584940653959824
2025-07-31,18.7963,8.525333,8.0,-0.19593059065906582,0.2880418857085676,0.0,1.0716782276711134,3.907766658963774
2025-08-31,18.916,8.526136,8.0,0.6368274607236657,0.009418986918152683,0.0,-3.7525122751672746,3.32989390615428
